"Options","Name","min","max","Value"
"","error code (errorcode)","","",""
"","last error code (lastcode)","","","A01(5284) 01.03.2026 03:13-01.03.2026 12:20"
"","date/time (datetime)","","","01.03.2026 16:30"
"","internal temperature offset (intoffset)","-12","12","0"
"","floor drying (floordry)","","","off"
"","damped outdoor temperature (dampedoutdoortemp)","","","04.märts"
"","floor drying temperature (floordrytemp)","","","0"
"","building type (building)","","","medium"
"","minimal external temperature (minexttemp)","-126","126","-20"
"","damping outdoor temperature (damping)","","","on"
"","solar (solar)","","","off"
"","hybrid control strategy (hybridstrategy)","","",""
"","outside switchover temperature (switchovertemp)","","",""
"","energy cost ratio (energycostratio)","0","20","03.märts"
"","fossile energy factor (fossilefactor)","","",""
"","electric energy factor (electricfactor)","","",""
"","delay boiler support (delayboiler)","","",""
"","temp diff boiler support (tempdiffboiler)","","",""
"","enable raise dhw (pvenabledhw)","","","off"
"","raise heating with PV (pvraiseheat)","0","5","2"
"","lower cooling with PV (pvlowercool)","-5","0","0"
"","absent (absent)","","",""
"","hc1 selected room temperature (hc1/seltemp)","0","30","20"
"","hc1 current room temperature (hc1/currtemp)","","",""
"","hc1 mqtt discovery current room temperature (hc1/haclimate)","","","selTemp"
"","hc1 operating mode (hc1/mode)","","","manual"
"","hc1 mode type (hc1/modetype)","","","comfort"
"","hc1 eco temperature (hc1/ecotemp)","0","127","15"
"","hc1 manual temperature (hc1/manualtemp)","0","127","20"
"","hc1 comfort temperature (hc1/comforttemp)","0","127","21"
"","hc1 summer temperature (hc1/summertemp)","10","30","17"
"","hc1 design temperature (hc1/designtemp)","0","254","38"
"","hc1 offset temperature (hc1/offsettemp)","-126","126","1"
"","hc1 min flow temperature (hc1/minflowtemp)","0","254","22"
"","hc1 max flow temperature (hc1/maxflowtemp)","0","254","45"
"","hc1 room influence (hc1/roominfluence)","0","254","1"
"","hc1 room influence factor (hc1/roominflfactor)","0","25","4"
"","hc1 current room influence (hc1/curroominfl)","","","0"
"","hc1 nofrost mode (hc1/nofrostmode)","","","outdoor"
"","hc1 nofrost temperature (hc1/nofrosttemp)","-126","126","5"
"","hc1 target flow temperature (hc1/targetflowtemp)","","","29"
"","hc1 heating type (hc1/heatingtype)","","","floor"
"","hc1 set summer mode (hc1/summersetmode)","","",""
"","hc1 heatpump operating mode (hc1/hpoperatingmode)","","","auto"
"","hc1 summer mode (hc1/summermode)","","",""
"","hc1 heatpump operating state (hc1/hpoperatingstate)","","","heating"
"","hc1 vacation mode (hc1/vacationmode)","","","off"
"","hc1 control mode (hc1/controlmode)","","","outside basepoint"
"","hc1 program (hc1/program)","","","prog 1"
"","hc1 temporary set temperature automode (hc1/tempautotemp)","-1","30","-1"
"","hc1 cooling temperature (hc1/cooltemp)","-1","30","23"
"","hc1 fast heatup (hc1/fastheatup)","0","100","0"
"","hc1 switch-on optimization (hc1/switchonoptimization)","","","off"
"","hc1 reduce mode (hc1/reducemode)","","","reduce"
"","hc1 no reduce below temperature (hc1/noreducetemp)","-126","126","-31"
"","hc1 off/reduce switch temperature (hc1/reducetemp)","-126","126","5"
"","hc1 dhw priority (hc1/dhwprio)","","",""
"","hc1 hp cooling (hc1/hpcooling)","","",""
"","hc1 cooling on (hc1/coolingon)","","","off"
"","hc1 HP Mode (hc1/hpmode)","","","heating"
"","hc1 dew point offset (hc1/dewoffset)","2","10","3"
"","hc1 room temp difference (hc1/roomtempdiff)","0","254","1"
"","hc1 HP min. flow temp. (hc1/hpminflowtemp)","0","254","10"
"","hc1 control device (hc1/control)","","","RC310"
"","Command: hc1 room temperature from remote (hc1/remotetemp)","","",""
"","Command: hc1 room humidity from remote (hc1/remotehum)","","",""
"","hc1 heat-on delay (hc1/heatondelay)","1","48","1"
"","hc1 heat-off delay (hc1/heatoffdelay)","1","48","1"
"","hc1 instant start (hc1/instantstart)","1","10","1"
"","hc1 boost mode (hc1/boost)","","",""
"","hc1 boost time (hc1/boosttime)","","",""
"","hc1 cooling starttemp (hc1/coolstart)","20","35","28"
"","hc1 cooling on delay (hc1/coolondelay)","1","48","8"
"","hc1 cooling off delay (hc1/cooloffdelay)","1","48","4"
"","hc1 switch program mode (hc1/switchprogmode)","","",""
"","hc1 reduction threshold (hc1/redthreshold)","","",""
"","hc1 solar influence (hc1/solarinfl)","-5","4,294,967,295","0"
"","hc1 current solar influence (hc1/currsolarinfl)","","","0"
"","hc1 heating PID (hc1/heatingpid)","","",""
"","hc1 pump optimization (hc1/pumpopt)","","",""
"","hc1 integral time floor (hc1/inttimefloor)","","",""
"","hc1 integral time (hc1/inttime)","","",""
"","dhw operating mode (dhw/mode)","","","eco"
"","dhw mode type (dhw/modetype)","","",""
"","dhw set temperature (dhw/settemp)","","",""
"","dhw set low temperature (dhw/settemplow)","","",""
"","dhw circulation pump mode (dhw/circmode)","","","own prog"
"","dhw charge duration (dhw/chargeduration)","0","3,81","60"
"","dhw charge (dhw/charge)","","","off"
"","dhw extra (dhw/extra)","","","off"
"","dhw disinfecting (dhw/disinfecting)","","","off"
"","dhw disinfection day (dhw/disinfectday)","","","we"
"","dhw disinfection time (dhw/disinfecttime)","0","1,431","120"
"","dhw daily heating (dhw/dailyheating)","","","off"
"","dhw daily heating time (dhw/dailyheattime)","0","1,431","120"